,Locality,Type of Property,Sub Type,Price,Type of Sale,No of Rooms,Area(sqft),Equipped(Y/N),Furnished(Y/N),Open Fire(Y/N),Terrace Area,Garden Area,Surface of the Land(sqft),Surface area of the Plot(sqft),No of Facades,Simming Pool(Y/N),State of the Building
602, Bruges, Huis,Villa, (op aanvraag) , Huis,5,"2.368,06",,,,,,,"1,43",,Y,None
603, Bruges , Huis,Vrijstaande woning, (op aanvraag) , Huis,5,"1.668,41",,,,,,,"1.367,02",,Y,None
604, Bruges, House,House, (On Request) , House,5,"1,237.85",,,,,,,775,,Y,None
605, Bruges, House,House, (On Request) , House,8,"4,477.79",,,,,,,"2,066.67",,Y,None
606, Bruges, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,7,"5.920,15",,,,,,,"4.596,19",,Y,None
607, Bruges, House,Historic Estate, (On Request) , House,9,"2,830.91",,,,,,,"1,151.74",,Y,None
608, Bruges, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,None,"1.291,67",,,,,,,(op,,Y,None
609, Bruges, Huis,Huis, (op aanvraag) , Huis,5,"2.852,44",,,,,,,"1.689,93",,Y,None
610, Damme, House,Villa, (On Request) , House,5,"3,229.17",,,,,,,"46,392.45",,Y,None
611, Bruges, House,House, (On Request) , House,None,(On,,,,,,,None,,Y,None
612, Bruges, House,House, (On Request) , House,6,"1,991.32",,,,,,,"2,002.09",,Y,None
613, Bruges, Huis,Huis, (op aanvraag) , Huis,7,"3.239,94",,,,,,,"1.969,8",,Y,None
614, Bruges, Huis,Vrijstaande woning, (op aanvraag) , Huis,3,"807,29",,,,,,,"1.248,61",,Y,None
615, Bruges, House,Villa, (On Request) , House,9,"6,738.21",,,,,,,"37,770.56",,Y,None
616, Bruges, Huis,Villa, (op aanvraag) , Huis,6,"2.970,84",,,,,,,"5.220,5",,Y,None
617, Jabbeke, Huis,Villa, (op aanvraag) , Huis,7,"4.574,66",,,,,,,"22.367,41",,Y,None
618, Bruges , Huis,Villa, (op aanvraag) , Huis,7,"22.388,93",,,,,,,(op,,Y,None
619, Oostkamp, House,Villa, (On Request) , House,8,"3,605.91",,,,,,,"17,555.94",,Y,None
620, Bruges, Huis,Huis, (op aanvraag) , Huis,9,"3.013,89",,,,,,,"2.271,19",,Y,None
621, Bruges, House,Other, (On Request) , House,3,"1,076.39",,,,,,,"1,076.39",,Y,None
622, Bruges, House,Investment / Residential investment, (On Request) , House,2,807.29,,,,,,,807.29,,Y,None
623, Bruges, House,House, (On Request) , House,6,"4,843.76",,,,,,,"4,736.12",,Y,None
624, Bruges, Huis,Huis, (op aanvraag) , Huis,8,"3.229,17",,,,,,,"1.937,5",,Y,None
625, Bruges, Huis,Historische pand, (op aanvraag) , Huis,None,"11,12",,,,,,,(op,,Y,None
626, Bruges, House,House, (On Request) , House,6,"2,475.7",,,,,,,"1,625.35",,Y,None
627, Bruges, House,House, (On Request) , House,11,"4,520.84",,,,,,,"6,361.47",,Y,None
628, Oostkamp, House,Villa, (On Request) , House,7,"4,467.02",,,,,,,1.44,,Y,None
629, Bruges, Huis,Huis, (op aanvraag) , Huis,8,"3.767,37",,,,,,,"3.229,17",,Y,None
630, Antwerpen-Noord, Huis,Historische pand, (op aanvraag) , Huis,None,(op,,,,,,,None,,Y,None
631, Bruges, House,House, (On Request) , House,4,"2,475.7",,,,,,,(On,,Y,None
